FIRE_START,lon,lat,FOR_TYPE,rf,arf7,arf14,arf28,arf60,arf90,arf180,arf360,arf720,se,ase7,ase14,ase28,ase60,ase90,ase180,ase360,ase720,maxt,amaxt7,amaxt14,amaxt28,amaxt60,amaxt90,amaxt180,amaxt360,amaxt720,mint,amint7,amint14,amint28,amint60,amint90,amint180,amint360,amint720,dist_cfa,dist_camp,ws,aws_m0,aws_m1,aws_m3,aws_m6,aws_m12,aws_m24,dist_road,cause
2015-01-02,145.250441,-37.427187000000004,Eucalypt Medium Open,0,0.0571428571428571,0.0285714285714286,0.442857142857143,1.43333333333333,1.565,1.73444444444444,1.94777777777778,1.75861111111111,21.4,25.0428571428571,26.5642857142857,25.875,23.8666666666667,17.9375,14.0611111111111,14.6344444444444,14.8026388888889,23.4,26.3857142857143,26.5857142857143,25.8035714285714,27.2533333333333,22.595,18.7283333333333,17.4269444444444,17.795,11.1,12.2,12.3214285714286,11.7928571428571,13.7483333333333,11.57,9.61,8.48361111111111,8.63861111111111,6008.06139489307,6574.79486377372,2.33000206947327,1.78462910652161,1.70638382434845,1.62737480799357,1.51224768161774,1.47586514552434,1.51225205759207,149.392028832014,accident
2016-03-27,146.059584,-37.522023,Eucalypt Tall Open,0,7.57142857142857,4,3.12142857142857,2.93,3.23666666666667,2.51444444444444,2.04888888888889,1.84833333333333,12.1,8.5,9.79285714285714,9.15357142857143,7.79833333333333,6.985,9.17222222222222,15.5033333333333,15.8466666666667,23.8,21.2571428571429,20.1142857142857,18.6642857142857,17.8616666666667,15.2266666666667,15.89,21.3605555555556,21.5193055555556,9.2,12.9428571428571,9.77857142857143,8.11071428571429,8.31833333333333,6.51,5.775,8.39583333333333,8.40180555555555,17695.0591898155,154.745696824263,1.17520034313202,1.15562546253204,1.34407436847687,1.40192449092865,1.29979528983434,1.20782940089703,1.23057841509581,73.23831308423,accident
2015-02-16,145.318387,-37.521906,Non forest,22,7.11428571428571,3.57142857142857,2.25714285714286,1.77666666666667,1.92333333333333,1.94888888888889,1.93111111111111,1.90138888888889,7.8,19.5571428571429,20.7785714285714,17.7178571428571,14.3083333333333,10.6158333333333,9.46666666666667,14.0827777777778,14.065,28.3,27.1142857142857,30.9357142857143,27.8,24.49,20.37,18.5355555555556,21.075,21.0279166666667,17.2,12.6714285714286,13.4928571428571,11.7642857142857,9.67,6.90666666666667,6.11111111111111,7.61611111111111,7.76597222222222,2381.00666742181,8511.38624892603,1.70947122573853,1.52381885051727,1.78462910652161,1.70108926296234,1.5402730902036,1.48064762353897,1.51180789371332,72.9013411520341,accident
2015-12-04,145.743864,-37.521791,Eucalypt Tall Open,0,0.0571428571428571,0.928571428571428,0.685714285714286,0.78,1.75333333333333,1.85444444444444,2.03333333333333,1.79472222222222,33.6,31.1285714285714,27.1142857142857,27.8785714285714,28.5433333333333,22.11,17.3261111111111,15.5925,15.8202777777778,24.9,32.6142857142857,29.95,28.3035714285714,31.8883333333333,29.0566666666667,25.1155555555556,21.8213888888889,21.4480555555556,9.1,12.3142857142857,12.8357142857143,11.4785714285714,13.1916666666667,12.3675,10.6533333333333,8.55222222222222,8.17541666666667,1331.16828985218,1780.18716847385,1.0527902841568,1.63399481773376,1.51354014873505,1.457381884257,1.35097028811773,1.4486036002636,1.45563284059366,2.2901688014416,accident
2016-02-13,146.076568,-37.521255,Eucalypt Medium Open,0,0,0.0142857142857143,1.19285714285714,2.46666666666667,2.43666666666667,2.68777777777778,2.18777777777778,1.93305555555556,26,21.1714285714286,21.2,18.3464285714286,14.6,10.7741666666667,9.59444444444444,15.3813888888889,15.6665277777778,30,29.1714285714286,29.4285714285714,27.8285714285714,24.7633333333333,20.5866666666667,17.89,21.4136111111111,21.3208333333333,5.8,9.17142857142857,10.2214285714286,10.8678571428571,10.6266666666667,8.83583333333333,7.21388888888889,8.45361111111111,8.23277777777778,16272.8405029823,241.677956311251,1.19197058677673,1.34407436847687,1.4071516990661601,1.40314841270447,1.25547081232071,1.20389787852764,1.23548871527116,40.4790444804877,accident
2018-01-27,146.076568,-37.521255,Eucalypt Medium Open,0,0,0,0.0285714285714286,0.526666666666667,1.42333333333333,2.29333333333333,2.38333333333333,2.26527777777778,28.1,27.6857142857143,25.9571428571429,23.8785714285714,19.8083333333333,15.01,12.06,15.4769444444444,15.497635605007,33.5,32.5571428571429,29.0214285714286,31.2071428571429,28.57,23.815,19.9927777777778,21.0069444444444,21.2583333333333,16.7,13.0857142857143,12.0785714285714,13.1035714285714,12.4516666666667,10.1516666666667,8.64944444444444,8.84583333333333,8.5225,16272.8405029823,241.677956311251,0.968090415000916,1.21710777282715,1.18959057331085,1.17029229799906,1.25596336523692,1.12447603543599,1.22792792320251,40.4790444804877,accident
2017-01-29,145.955486,-37.521148,Eucalypt Tall Open,0,4.51428571428571,2.41428571428571,2.10714285714286,1.34,1.67,1.77,1.765,2.07277777777778,28.6,23.6714285714286,22.6857142857143,20.6857142857143,17.9833333333333,13.185,10.9855555555556,15.8355555555556,15.6934722222222,33.5,32.9714285714286,32.45,29.3357142857143,26.4066666666667,21.5691666666667,18.3538888888889,21.2952777777778,21.1663888888889,9.9,14.5142857142857,15.1714285714286,13.5071428571429,10.7866666666667,8.28083333333333,6.68,8.10527777777778,8.46763888888889,20522.3384285349,105.830090078955,0.89833664894104,1.4293977022171,1.60728335380554,1.73838118712107,1.65240230162938,1.55793564518293,1.50025341411432,94.5382778948956,accident
2018-09-26,145.955486,-37.521148,Eucalypt Tall Open,0.4,1.25714285714286,2.04285714285714,1.42857142857143,1.71,1.60833333333333,1.44444444444444,1.80722222222222,2.04333333333333,17.6,12.6,16.3142857142857,18.1357142857143,21.2783333333333,22.6116666666667,21.3016666666667,15.3763888888889,15.6794158553547,20.8,17.2285714285714,18.2428571428571,18.9821428571429,21.8866666666667,25.5275,26.6627777777778,20.9975,21.4566666666667,7.4,8.1,7.10714285714286,6.76071428571429,8.16666666666667,10.4675,11.0511111111111,7.92888888888889,8.11083333333333,20522.3384285349,105.830090078955,1.07585179805756,1.45863747596741,1.76278972625732,1.53529270490011,1.42474144697189,1.46864428122838,1.43271009375652,94.5382778948956,accident
2017-04-18,145.670324,-37.520985,Eucalypt Medium Open,0.2,0.114285714285714,2.24285714285714,3.02857142857143,1.94666666666667,2.095,1.99888888888889,1.69055555555556,2.00083333333333,12.9,10.5285714285714,8.32142857142857,7.76785714285714,7.15333333333333,7.225833333333331,10.0877777777778,15.1338888888889,14.78125,18.6,20.3857142857143,18.0571428571429,16.825,15.415,14.2466666666667,16.1422222222222,21.4022222222222,21.0331944444444,0.4,4.2,7.2,6.01428571428571,4.88333333333333,4.2925,4.77555555555556,7.7925,7.98486111111111,3217.02278651456,6367.01985503723,0.702220857143402,1.14847636222839,1.34054291248322,1.39970898628235,1.56904508670171,1.53689441084862,1.47631450990836,128.367931069862,burning_off
2018-12-12,148.954273,-37.520411,Eucalypt Tall Open,0,0,0,0.00714285714285714,0.303333333333333,1.19833333333333,1.70277777777778,2.17916666666667,2.01513888888889,30.3,22.3142857142857,19.45,19.9,19.3783333333333,16.5658333333333,13.7466666666667,13.9763231197772,14.0051460361613,23.5,30.7285714285714,27.6785714285714,27.55,26.54,24.2275,20.8972222222222,19.0930555555556,19.1793055555556,8,16.1571428571429,15.7857142857143,15.1964285714286,14.0783333333333,13.133333333333301,11.2466666666667,9.33722222222222,9.3,18553.6502139198,14000.0523510198,1.62466371059418,0.252128571271896,0.431931287050247,0.291428883870443,0.303359681367874,0.373430212028325,0.8169376749376,101.165330148074,lightning
